Id,Title,Location,Publisher,ISSN,Volume,Issue #,Publication date
nla.obj-1023555530,Research Observer 1023555530,Riverside Branch,Stonefield Press,1040-1280,21,7,1970-07-01
nla.obj-1023555683,Finance Chronicle 1023555683,Riverside Branch,Summit House,1041-1287,7,8,1970-08-01
nla.obj-1023555890,Technology Bulletin 1023555890,Main Library - Floor 1,Hillside Editions,1042-1294,45,9,1970-09-01
nla.obj-1023555984,Environmental Digest 1023555984,Reference Wing,Redwood House,1043-1301,22,10,1970-10-01
nla.obj-1023556217,Innovation Quarterly 1023556217,North Campus Library,Redwood Media Group,1044-1308,11,11,1970-11-01
nla.obj-1023556367,Health Bulletin 1023556367,Archives Room,Summit Publishing,1045-1315,1,12,1970-12-01
nla.obj-1023684431,Industry Journal 1023684431,Archives Room,Harbor Media Group,1046-1322,22,22,1973-11-17
nla.obj-1023691881,Economic Quarterly 1023691881,Periodicals Desk,Riverside Publications,1047-1329,4,9,1975-12-15
nla.obj-1023723442,Culture Digest 1023723442,Media Center,Ironwood Publishing,1048-1336,2,14,1974-12-15
nla.obj-1023750604,Medical Times 1023750604,Periodicals Desk,Summit Publishing,1049-1343,20,24,1974-12-16
nla.obj-1023776137,Civic Forum 1023776137,Media Center,Lakeshore Review,1050-1350,34,12,1972-12-09
nla.obj-1023808942,Civic Quarterly 1023808942,Main Library - Floor 1,Maple Works,1051-1357,46,20,1983-10-08
nla.obj-1029639846,Science Quarterly 1029639846,Main Library - Floor 1,Summit Publishing,1052-1364,18,15,1975-12-14
nla.obj-1029661558,Industry Report 1029661558,Main Library - Floor 1,Broadview Review,1053-1371,36,rth,1975-12-16
nla.obj-1029693071,Health Times 1029693071,Stacks A,Granite Books,1054-1378,2,3,1975-12-17
nla.obj-1029721934,Education Journal 1029721934,Media Center,Broadview Books,1055-1385,45,mic,1974-12-14
nla.obj-1029761630,Health Observer 1029761630,South Campus Library,Broadview Editions,1056-1392,12,4,1973-12-16
nla.obj-1029781547,Public Affairs Digest 1029781547,Stacks A,Ironwood Journals,1057-1399,10,5,1973-12-15
nla.obj-1029805869,Technology Forum 1029805869,Media Center,Hillside Media Group,1058-1406,29,24,1980-12-06
nla.obj-1029826640,Economic Quarterly 1029826640,Stacks B,Harbor Press,1059-1413,1,17,1981-08-29
nla.obj-1030240968,Legal Quarterly 1030240968,North Campus Library,Redwood Press,1060-1420,37,1,1946-01-01
nla.obj-1035622640,Literary Observer 1035622640,Media Center,Brighton Publications,1061-1427,3,1.,1946-01-02
nla.obj-1035625574,Industry Review 1035625574,Media Center,Brighton House,1062-1434,19,2,1946-01-03
nla.obj-1035625802,Innovation Forum 1035625802,Stacks B,Redwood Journals,1063-1441,30,3,1946-01-04
nla.obj-1035628554,Technology Review 1035628554,Stacks A,Fairmont Works,1064-1448,20,3,1946-01-05
nla.obj-1035631510,Industry Digest 1035631510,Media Center,Hillside Books,1065-1455,21,4,1946-01-06
nla.obj-1035631859,Education Bulletin 1035631859,Periodicals Desk,Pinecrest Works,1066-1462,31,10,1972-12-11
nla.obj-1035631927,Environmental Digest 1035631927,Main Library - Floor 2,Harbor House,1067-1469,24,5,1946-01-07
nla.obj-1035643314,Medical Report 1035643314,Stacks A,Broadview Editions,1068-1476,12,6,1946-01-08
nla.obj-1035645441,Education Digest 1035645441,Stacks B,Redwood Journals,1069-1483,33,8,1946-03-01
nla.obj-1035645930,Policy Observer 1035645930,North Campus Library,Harbor Media Group,1070-1490,26,9,1946-03-02
nla.obj-1035648370,Science Quarterly 1035648370,Periodicals Desk,Northbridge Press,1071-1497,21,10,1946-03-03
nla.obj-1035651815,Industry Review 1035651815,Riverside Branch,Redwood Media Group,1072-1504,17,11,1946-03-04
nla.obj-1035652071,Education Report 1035652071,Main Library - Floor 1,Elmwood House,1073-1511,26,12,1946-03-05
nla.obj-1035654649,Public Affairs Digest 1035654649,Main Library - Floor 2,Elmwood House,1074-1518,6,13,1946-03-06
nla.obj-1035656562,Environmental Bulletin 1035656562,North Campus Library,Fairmont Editions,1075-1525,30,14,1946-03-07
nla.obj-1035663438,Environmental Review 1035663438,Main Library - Floor 1,Brighton Review,1076-1532,23,15,1946-03-08
nla.obj-1035665568,Policy Bulletin 1035665568,Main Library - Floor 2,Brighton Media Group,1077-1539,1,9,1962-05-18
nla.obj-1035665584,Economic Quarterly 1035665584,Downtown Branch,Maple Publications,1078-1546,16,10,1962-06-01
nla.obj-1035665602,Industry Times 1035665602,Stacks B,Fairmont Press,1079-1553,47,10,1962-06-02
nla.obj-1035665677,Economic Report 1035665677,Reference Wing,Hillside Works,1080-1560,36,11,1962-06-15
nla.obj-1035665690,Education Report 1035665690,Media Center,Redwood Press,1081-1567,27,12,1962-06-29
nla.obj-1035665775,Environmental Journal 1035665775,North Campus Library,Brighton Editions,1082-1574,44,12,1962-06-30
nla.obj-1035665791,Education Digest 1035665791,Stacks A,Maple Books,1083-1581,48,13,1962-07-13
nla.obj-1035665814,Environmental Review 1035665814,Stacks B,Granite House,1084-1588,6,14,1962-07-27
nla.obj-1035665838,Health Bulletin 1035665838,North Campus Library,Redwood Press,1085-1595,14,15,1962-08-10
nla.obj-1035665851,Literary Times 1035665851,Reference Wing,Harbor Publications,1086-1602,28,16,1962-08-24
nla.obj-1035700936,Legal Bulletin 1035700936,Downtown Branch,Stonefield Review,1087-1609,4,16,1946-04-02
nla.obj-1035720776,Literary Bulletin 1035720776,North Campus Library,Crown Works,1088-1616,15,17,1946-04-03
nla.obj-1035727314,Industry Journal 1035727314,Media Center,Redwood Press,1089-1623,3,20,1980-10-10
nla.obj-1035738654,Education Times 1035738654,Reference Wing,Northbridge Review,1090-1630,33,18,1946-04-04
nla.obj-1035740010,Finance Review 1035740010,Stacks B,Crescent Media Group,1091-1637,10,17,1962-09-07
nla.obj-1035740032,Arts Observer 1035740032,Media Center,Crescent Media Group,1092-1644,45,18,1962-09-21
nla.obj-1035740216,Science Times 1035740216,Stacks B,Crown Review,1093-1651,8,19,1962-10-05
nla.obj-1035740291,Business Digest 1035740291,Stacks A,Stonefield Press,1094-1658,37,19,1962-10-06
nla.obj-1035740337,Education Digest 1035740337,Main Library - Floor 1,Harbor Editions,1095-1665,35,20,1962-10-19
nla.obj-1035740376,Arts Bulletin 1035740376,Periodicals Desk,Fairmont Press,1096-1672,20,21,1962-11-02
nla.obj-1035740509,Technology Digest 1035740509,Main Library - Floor 2,Harbor Media Group,1097-1679,7,22,1962-11-16
nla.obj-1035740595,Technology Journal 1035740595,Riverside Branch,Broadview Editions,1098-1686,39,23,1962-11-30
nla.obj-1035740740,Public Affairs Digest 1035740740,Archives Room,Fairmont Publications,1099-1693,38,24,1962-12-14
nla.obj-1035775944,Arts Times 1035775944,Main Library - Floor 1,Riverside Review,1100-1700,38,19,1946-04-05
nla.obj-1035799968,Environmental Quarterly 1035799968,Main Library - Floor 2,Pinecrest Publishing,1101-1707,19,20,1946-04-06
nla.obj-1035818301,Science Observer 1035818301,Media Center,Broadview Media Group,1102-1714,44,21,1946-04-07
nla.obj-1035824881,Environmental Journal 1035824881,Stacks A,Elmwood Journals,1103-1721,20,22,1946-04-08
nla.obj-1035886068,Global Quarterly 1035886068,Reference Wing,Bluebird House,1104-1728,31,23,1946-04-09
nla.obj-1035969968,Civic Journal 1035969968,Main Library - Floor 2,Brighton Editions,1105-1735,4,24,1946-05-01
nla.obj-1035991364,Legal Report 1035991364,North Campus Library,Redwood Journals,1106-1742,39,25,1946-05-02
nla.obj-1035993584,Environmental Journal 1035993584,South Campus Library,Stonefield House,1107-1749,8,26,1946-05-03
nla.obj-1035997241,Economic Review 1035997241,Main Library - Floor 2,Westgate Books,1108-1756,26,28,1946-05-05
nla.obj-1036000815,Technology Digest 1036000815,North Campus Library,Elmwood Press,1109-1763,35,27,1946-05-04
nla.obj-1036005168,Civic Observer 1036005168,Main Library - Floor 2,Northbridge House,1110-1770,41,29,1946-05-06
nla.obj-1036017206,Literary Bulletin 1036017206,Reference Wing,Fairmont Press,1111-1777,27,30,1947-06-01
nla.obj-1036032673,Technology Review 1036032673,Downtown Branch,Elmwood Journals,1112-1784,39,32,1947-06-02
nla.obj-1036040373,Research Journal 1036040373,Riverside Branch,Broadview Works,1113-1791,13,34,1947-06-03
nla.obj-1036050152,Technology Digest 1036050152,Main Library - Floor 1,Pinecrest House,1114-1798,16,35,1948-03-01
nla.obj-1036050404,Medical Quarterly 1036050404,Downtown Branch,Ironwood House,1115-1805,3,36,1948-06-01
nla.obj-1036138100,Medical Forum 1036138100,Periodicals Desk,Maple Books,1116-1812,37,37,1948-06-02
nla.obj-1036176811,Industry Observer 1036176811,Downtown Branch,Crown Publications,1117-1819,17,38,1948-06-03
nla.obj-1036185598,Research Chronicle 1036185598,Reference Wing,Lakeshore Works,1118-1826,44,1,1946-01-01
nla.obj-1036510955,Policy Times 1036510955,Main Library - Floor 1,Ironwood Publishing,1119-1833,45,3,1948-01-04
nla.obj-1036520015,Civic Digest 1036520015,Media Center,Summit Press,1120-1840,29,4,1948-01-05
nla.obj-1036620047,Science Forum 1036620047,Stacks B,Harbor Publications,1121-1847,2,3,1946-02-28
nla.obj-1037514,Science Report 1037514,Stacks B,Brighton Editions,1122-1854,34,1,1916-07-08
nla.obj-10378371,Public Affairs Times 10378371,Riverside Branch,Stonefield Journals,1123-1861,26,5,1917-12-15
nla.obj-1039223,Finance Digest 1039223,Stacks B,Maple Journals,1124-1868,23,2,1916-07-12
nla.obj-10419953,Medical Bulletin 10419953,Media Center,Fairmont Review,1125-1875,8,6,1918-01-01
nla.obj-10421074,Science Times 10421074,Media Center,Granite Publications,1126-1882,17,7,1918-01-07
nla.obj-1045653,Arts Digest 1045653,Periodicals Desk,Broadview Publishing,1127-1889,37,3,1916-07-14
nla.obj-1046402145,Economic Bulletin 1046402145,Downtown Branch,Brighton Publications,1128-1896,40,22,1984-02-01
nla.obj-1046402168,Business Digest 1046402168,Stacks B,Broadview Works,1129-1903,4,20,1984-03-01
nla.obj-1046402184,Industry Observer 1046402184,Archives Room,Granite Review,1130-1910,17,15,1984-04-01
nla.obj-1046402253,Environmental Review 1046402253,Riverside Branch,Maple Review,1131-1917,39,14,1984-06-01
nla.obj-1046402336,Business Forum 1046402336,Periodicals Desk,Hillside Press,1132-1924,21,7,1984-07-01
nla.obj-1046402373,Civic Observer 1046402373,Stacks B,Summit Media Group,1133-1931,3,11,1984-08-01
nla.obj-1046521803,Culture Report 1046521803,Stacks A,Brighton House,1134-1938,32,10,1940-05-01
nla.obj-1047179672,Education Review 1047179672,Riverside Branch,Pinecrest House,1135-1945,33,2,2004-06-30
nla.obj-1047179957,Education Report 1047179957,Reference Wing,Fairmont Media Group,1136-1952,39,3,2004-06-30
nla.obj-10474331,Public Affairs Observer 10474331,Reference Wing,Bluebird Publishing,1137-1959,30,1,1917-10-01
nla.obj-10487633,Medical Observer 10487633,Reference Wing,Riverside House,1138-1966,4,4,1916-01-01
nla.obj-1051733435,Economic Review 1051733435,Main Library - Floor 1,Westgate Journals,1139-1973,19,vember,1950-11-01
nla.obj-1051876576,Arts Quarterly 1051876576,Reference Wing,Harbor Review,1140-1980,31,3,1950-01-01
nla.obj-1052484927,Public Affairs Journal 1052484927,Downtown Branch,Westgate Journals,1141-1987,4,4,1942-05-01
nla.obj-10525408,Medical Observer 10525408,Downtown Branch,Westgate Publishing,1142-1994,8,5,1916-02-01
nla.obj-10540870,Technology Journal 10540870,Riverside Branch,Pinecrest Works,1143-2001,33,6,1916-03-01
nla.obj-10545131,Research Report 10545131,Reference Wing,Crown Publications,1144-2008,10,8,1916-05-01
nla.obj-10554183,Finance Observer 10554183,South Campus Library,Bluebird Review,1145-2015,12,9,1916-06-01
nla.obj-10560079,Industry Digest 10560079,Downtown Branch,Brighton Press,1146-2022,28,12,1916-09-01
nla.obj-10588609,Business Observer 10588609,Stacks A,Maple Publishing,1147-2029,38,1,1916-10-01
nla.obj-1058972841,Arts Times 1058972841,Reference Wing,Pinecrest Editions,1148-2036,20,6,1968-01-01
nla.obj-1058973094,Environmental Forum 1058973094,Stacks A,Pinecrest Media Group,1149-2043,39,1,1968-01-19
nla.obj-1058973257,Medical Digest 1058973257,North Campus Library,Elmwood Journals,1150-2050,3,2,1968-02-02
nla.obj-1058973273,Arts Times 1058973273,Reference Wing,Ironwood Review,1151-2057,28,2,1968-02-03
nla.obj-1058973330,Innovation Quarterly 1058973330,Stacks B,Summit Books,1152-2064,25,3,1968-02-16
nla.obj-1058973400,Science Report 1058973400,Main Library - Floor 2,Brighton House,1153-2071,46,3,1968-02-17
nla.obj-1058973484,Arts Chronicle 1058973484,Stacks B,Redwood Media Group,1154-2078,17,4,1968-03-01
nla.obj-1058973579,Environmental Journal 1058973579,Media Center,Northbridge Journals,1155-2085,42,5,1968-03-15
nla.obj-1058973650,Civic Review 1058973650,Riverside Branch,Crescent Press,1156-2092,20,6,1968-03-29
nla.obj-1058973731,Industry Review 1058973731,Stacks A,Elmwood Publishing,1157-2099,25,7,1968-04-12
nla.obj-1058973856,Global Quarterly 1058973856,South Campus Library,Crescent Media Group,1158-2106,11,8,1968-04-26
nla.obj-1059120661,Medical Observer 1059120661,North Campus Library,Summit Publications,1159-2113,48,9,1968-05-10
nla.obj-1059120784,Finance Bulletin 1059120784,Periodicals Desk,Harbor Works,1160-2120,26,10,1968-05-24
nla.obj-1059120864,Education Review 1059120864,Periodicals Desk,Ironwood Journals,1161-2127,25,11,1968-06-17
nla.obj-1059120997,Culture Journal 1059120997,Stacks A,Pinecrest Books,1162-2134,34,12,1968-06-21
nla.obj-1059121101,Education Bulletin 1059121101,North Campus Library,Ironwood Media Group,1163-2141,12,13,1968-07-05
nla.obj-1059121241,Health Journal 1059121241,Riverside Branch,Riverside Review,1164-2148,36,14,1968-07-19
nla.obj-1059121324,Civic Review 1059121324,Main Library - Floor 2,Ironwood Editions,1165-2155,10,15,1968-08-02
nla.obj-1059121343,Health Journal 1059121343,South Campus Library,Granite House,1166-2162,21,16,1968-08-16
nla.obj-1059121362,Arts Report 1059121362,Archives Room,Broadview Editions,1167-2169,43,16,1968-08-17
nla.obj-1059268477,Environmental Chronicle 1059268477,Media Center,Summit Editions,1168-2176,47,17,1968-08-30
nla.obj-1059268617,Economic Report 1059268617,Main Library - Floor 2,Bluebird Editions,1169-2183,21,17,1968-08-31
nla.obj-1059268658,Education Digest 1059268658,Reference Wing,Summit House,1170-2190,32,18,1968-09-13
nla.obj-1059268740,Innovation Observer 1059268740,Downtown Branch,Westgate Journals,1171-2197,30,18,1968-09-14
nla.obj-1059268765,Finance Forum 1059268765,Riverside Branch,Stonefield Editions,1172-2204,37,19,1968-09-27
nla.obj-1059268873,Medical Forum 1059268873,Main Library - Floor 1,Fairmont Publishing,1173-2211,40,20,1968-10-11
nla.obj-1059269155,Education Forum 1059269155,Reference Wing,Northbridge Press,1174-2218,36,20,1968-10-12
nla.obj-1059269248,Global Report 1059269248,Reference Wing,Riverside House,1175-2225,7,21,1968-10-25
nla.obj-1059269285,Health Digest 1059269285,Archives Room,Redwood Media Group,1176-2232,44,22,1968-11-08
nla.obj-1059269363,Innovation Observer 1059269363,North Campus Library,Lakeshore Journals,1177-2239,14,23,1968-11-22
nla.obj-1059269382,Health Times 1059269382,Archives Room,Northbridge Press,1178-2246,38,24,1968-12-06
nla.obj-1059269511,Global Journal 1059269511,Main Library - Floor 2,Bluebird Press,1179-2253,26,24,1968-12-07
nla.obj-10595727,Literary Times 10595727,South Campus Library,Riverside Publications,1180-2260,41,2,1916-11-01
nla.obj-1062344711,Research Journal 1062344711,Stacks B,Elmwood Works,1181-2267,23,1,1996-01-01
nla.obj-1062344848,Environmental Chronicle 1062344848,Stacks B,Crown Books,1182-2274,11,2,1996-02-01
nla.obj-1062345123,Civic Observer 1062345123,Stacks A,Hillside Publishing,1183-2281,9,3,1996-03-01
nla.obj-1062345707,Culture Quarterly 1062345707,Media Center,Crescent Media Group,1184-2288,33,4,1996-04-01
nla.obj-1062345801,Technology Quarterly 1062345801,Stacks A,Hillside Books,1185-2295,40,5,1996-05-01
nla.obj-1062345911,Technology Digest 1062345911,Periodicals Desk,Redwood Works,1186-2302,5,6,1996-06-01
nla.obj-1062346136,Innovation Times 1062346136,Downtown Branch,Northbridge Books,1187-2309,23,7,1996-07-01
nla.obj-1062346347,Business Chronicle 1062346347,Archives Room,Harbor Publications,1188-2316,16,8,1996-08-01
nla.obj-1062346409,Innovation Forum 1062346409,Main Library - Floor 2,Brighton Review,1189-2323,14,9,1996-09-01
nla.obj-1062346607,Science Quarterly 1062346607,Stacks A,Broadview Editions,1190-2330,9,10,1996-10-01
nla.obj-1062346758,Culture Digest 1062346758,Reference Wing,Pinecrest Works,1191-2337,36,11,1996-11-01
nla.obj-1062346953,Economic Times 1062346953,Main Library - Floor 2,Riverside Editions,1192-2344,13,12,1996-12-01
nla.obj-1062765323,Legal Report 1062765323,Archives Room,Summit Press,1193-2351,47,14,1979-07-20
nla.obj-1062810769,Medical Journal 1062810769,Main Library - Floor 2,Granite Books,1194-2358,46,16,1979-08-17
nla.obj-1062825497,Health Bulletin 1062825497,Downtown Branch,Lakeshore Journals,1195-2365,1,23,1979-11-23
nla.obj-1062933495,Public Affairs Report 1062933495,Stacks A,Granite Press,1196-2372,13,vember,1940-11-01
nla.obj-106330,Business Forum 106330,Reference Wing,Riverside Works,1197-2379,13,8,1988-12-01
nla.obj-1064194388,Finance Journal 1064194388,Media Center,Summit House,1198-2386,13,17,1935-05-01
nla.obj-1066037817,Policy Quarterly 1066037817,Stacks A,Crown Journals,1199-2393,5,5,1984-10-01
nla.obj-1066038026,Arts Quarterly 1066038026,Periodicals Desk,Northbridge Journals,1200-2400,32,vember,1984-11-01
nla.obj-1066038060,Finance Report 1066038060,Riverside Branch,Ironwood Books,1201-2407,36,23,1985-01-01
nla.obj-1066038107,Policy Review 1066038107,South Campus Library,Summit Journals,1202-2414,24,12,1985-02-01
nla.obj-1066038257,Industry Bulletin 1066038257,Archives Room,Broadview Press,1203-2421,37,24,1985-03-01
nla.obj-1066038349,Industry Chronicle 1066038349,Main Library - Floor 1,Bluebird Press,1204-2428,30,5,1985-04-01
nla.obj-1066038363,Business Quarterly 1066038363,Main Library - Floor 1,Riverside Review,1205-2435,11,22,1985-07-01
nla.obj-1066038554,Literary Times 1066038554,Main Library - Floor 1,Westgate Journals,1206-2442,10,13,1985-08-01
nla.obj-1066038598,Culture Quarterly 1066038598,Downtown Branch,Riverside Editions,1207-2449,28,20,1985-09-01
nla.obj-1066038702,Legal Digest 1066038702,Archives Room,Elmwood Publishing,1208-2456,32,19,1985-10-01
nla.obj-1066038914,Culture Times 1066038914,Media Center,Broadview House,1209-2463,32,vember,1985-11-01
nla.obj-1066039022,Literary Bulletin 1066039022,South Campus Library,Lakeshore Media Group,1210-2470,24,24,1985-12-01
nla.obj-1066039065,Science Report 1066039065,Downtown Branch,Granite Journals,1211-2477,18,19,1986-01-01
nla.obj-1066039136,Education Digest 1066039136,Periodicals Desk,Northbridge Books,1212-2484,8,21,1986-03-01
nla.obj-1066039276,Policy Times 1066039276,Riverside Branch,Ironwood Journals,1213-2491,46,20,1986-04-01
nla.obj-1066039318,Business Chronicle 1066039318,North Campus Library,Bluebird Publications,1214-2498,17,5,1986-05-01
nla.obj-1066039472,Legal Forum 1066039472,Main Library - Floor 2,Crescent Publishing,1215-2505,34,19,1986-06-01
nla.obj-1066039524,Science Digest 1066039524,Riverside Branch,Brighton Works,1216-2512,48,21,1986-07-01
nla.obj-1066039597,Global Times 1066039597,Periodicals Desk,Bluebird Press,1217-2519,8,8,1986-08-01
nla.obj-1066039782,Civic Chronicle 1066039782,North Campus Library,Bluebird House,1218-2526,2,4,1986-09-01
nla.obj-1066039875,Arts Chronicle 1066039875,Reference Wing,Westgate Publications,1219-2533,33,19,1986-10-01
nla.obj-1066039989,Literary Journal 1066039989,Downtown Branch,Maple Books,1220-2540,16,11,1986-12-01
nla.obj-1071642920,Education Bulletin 1071642920,North Campus Library,Redwood Editions,1221-2547,27,1,1947-05-01
nla.obj-1071642948,Research Times 1071642948,Riverside Branch,Riverside Editions,1222-2554,42,2,1947-06-01
nla.obj-1071642961,Arts Quarterly 1071642961,Periodicals Desk,Elmwood Works,1223-2561,25,3,1947-07-01
nla.obj-1071642985,Science Bulletin 1071642985,Stacks A,Brighton House,1224-2568,41,4,1947-08-01
nla.obj-1071643003,Technology Chronicle 1071643003,Downtown Branch,Northbridge Review,1225-2575,34,5,1947-09-01
nla.obj-1071643027,Innovation Chronicle 1071643027,Main Library - Floor 2,Maple Editions,1226-2582,38,6,1947-10-01
nla.obj-1071643042,Literary Digest 1071643042,Stacks B,Summit Publications,1227-2589,27,7,1947-11-01
nla.obj-1071643069,Culture Quarterly 1071643069,Periodicals Desk,Elmwood House,1228-2596,27,8,1948-01-01
nla.obj-1071643088,Technology Bulletin 1071643088,Main Library - Floor 1,Hillside Media Group,1229-2603,29,9,1948-02-01
nla.obj-1071643109,Medical Journal 1071643109,Stacks A,Summit House,1230-2610,21,10,1948-03-01
nla.obj-1071643123,Business Times 1071643123,Main Library - Floor 1,Stonefield House,1231-2617,17,11,1948-04-01
nla.obj-1071643146,Literary Chronicle 1071643146,North Campus Library,Crown Media Group,1232-2624,6,12,1948-05-01
nla.obj-1071725168,Innovation Observer 1071725168,Riverside Branch,Elmwood Press,1233-2631,13,4,1961-01-01
nla.obj-1071725184,Health Forum 1071725184,Main Library - Floor 1,Granite Press,1234-2638,27,1,1961-01-27
nla.obj-1071725202,Civic Report 1071725202,South Campus Library,Pinecrest Works,1235-2645,21,1,1961-01-28
nla.obj-1071725228,Global Report 1071725228,South Campus Library,Redwood House,1236-2652,4,2,1961-02-10
nla.obj-1071725244,Medical Chronicle 1071725244,North Campus Library,Maple Works,1237-2659,43,3,1961-02-24
nla.obj-1071725266,Finance Forum 1071725266,Archives Room,Hillside House,1238-2666,31,4,1961-03-10
nla.obj-1071725289,Economic Digest 1071725289,Media Center,Summit Publishing,1239-2673,37,5,1961-03-24
nla.obj-1071725304,Global Times 1071725304,Main Library - Floor 2,Harbor Publishing,1240-2680,40,6,1961-04-07
nla.obj-1071725320,Medical Quarterly 1071725320,Stacks B,Riverside House,1241-2687,43,7,1961-04-21
nla.obj-1071725348,Science Report 1071725348,Main Library - Floor 1,Crescent Editions,1242-2694,36,8,1961-05-05
nla.obj-1071748482,Medical Report 1071748482,Riverside Branch,Elmwood Media Group,1243-2701,41,9,1961-05-19
nla.obj-1071748526,Business Times 1071748526,Periodicals Desk,Broadview Media Group,1244-2708,10,10,1961-06-02
nla.obj-1071748612,Legal Quarterly 1071748612,Downtown Branch,Summit Media Group,1245-2715,15,11,1961-06-16
nla.obj-1071748699,Legal Journal 1071748699,South Campus Library,Crown House,1246-2722,46,12,1961-06-30
nla.obj-1071748713,Education Quarterly 1071748713,Riverside Branch,Crescent Review,1247-2729,4,13,1961-07-14
nla.obj-1071748784,Innovation Journal 1071748784,Stacks B,Hillside House,1248-2736,37,14,1961-07-28
nla.obj-1071748864,Arts Journal 1071748864,Downtown Branch,Westgate House,1249-2743,41,15,1961-08-11
nla.obj-1071748908,Arts Digest 1071748908,North Campus Library,Westgate Press,1250-2750,35,16,1961-08-25
nla.obj-1071782892,Civic Review 1071782892,South Campus Library,Brighton Journals,1251-2757,20,17,1961-09-08
