id,keywords
'9087,"[{''id''':'833, ''name''':'white house}, {''id''':'840, ''name''':'usa president}, {''id''':'1605, ''name''':'new love}, {''id''':'33476, ''name''':'widower}, {''id''':'211505, ''name''':wildlife conservation}]"
'12110,"[{''id''':'3633, ''name''':'dracula}, {''id''':'11931, ''name''':spoof}]"
'21032,"[{''id''':'1994, ''name''':'wolf}, {''id''':'6411, ''name''':'dog-sledding race}, {''id''':'9880, ''name''':'alaska}, {''id''':'15162, ''name''':'dog}, {''id''':'15169, ''name''':'goose}, {''id''':'158175, ''name''':'bear attack}, {''id''':'158370, ''name''':'dog sled}, {''id''':'158371, ''name''':frozen lake}]"
'10858,"[{''id''':'840, ''name''':'usa president}, {''id''':'2946, ''name''':'presidential election}, {''id''':'4240, ''name''':'watergate scandal}, {''id''':'5565, ''name''':'biography}, {''id''':'6086, ''name''':'government}, {''id''':'6165, ''name''':historical figure}]"
'1408,"[{''id''':'911, ''name''':'exotic island}, {''id''':'1454, ''name''':'treasure}, {''id''':'1969, ''name''':'map}, {''id''':'3799, ''name''':'ship}, {''id''':'5470, ''name''':'scalp}, {''id''':'12988, ''name''':pirate}]"
'524,"[{''id''':'383, ''name''':'poker}, {''id''':'726, ''name''':'drug abuse}, {''id''':'1228, ''name''':'1970s}, {''id''':'2635, ''name''':'overdose}, {''id''':'33625, ''name''':illegal prostitution}]"
'4584,"[{''id''':'420, ''name''':'bowling}, {''id''':'818, ''name''':'based on novel}, {''id''':'964, ''name''':'servant}, {''id''':'2755, ''name''':'country life}, {''id''':'7564, ''name''':'jane austen}, {''id''':'10911, ''name''':'inheritance}, {''id''':'11109, ''name''':'military officer}, {''id''':'15060, ''name''':'period drama}, {''id''':'156507, ''name''':'rainstorm}, {''id''':'156510, ''name''':'horse and carriage}, {''id''':'156512, ''name''':decorum}]"
'5,"[{''id''':'612, ''name''':'hotel}, {''id''':'613, ''name''':'""new year''s eve""}, {''id''':'616, ''name''':'witch}, {''id''':'622, ''name''':'bet}, {''id''':'922, ''name''':'hotel room}, {''id''':'2700, ''name''':'sperm}, {''id''':'12670, ''name''':'los angeles}, {''id''':'160488, ''name''':'hoodlum}, {''id''':'187056, ''name''':'woman director}, {''id''':'198129, ''name''':episode film}]"
'9273,"[{''id''':'409, ''name''':'africa}, {''id''':'1551, ''name''':'indigenous}, {''id''':'2526, ''name''':'human animal relationship}, {''id''':'5155, ''name''':bat}]"
'11517,"[{''id''':'380, ''name''':'brother brother relationship}, {''id''':'1552, ''name''':'subway}, {''id''':'14512, ''name''':'new york city}, {''id''':'155735, ''name''':'new york subway}, {''id''':'156120, ''name''':train robbery}]"
'49271,"[{''id''':'11320, ''name''':'tenant}, {''id''':'154802, ''name''':silent film}]"
44324,[]
122036,[]
'14885,"[{''id''':'3335, ''name''':'halloween}, {''id''':'193143, ''name''':winnie the pooh}]"
49280,[]
'106807,"[{''id''':'5970, ''name''':'wrestling}, {''id''':'6075, ''name''':'sport}, {''id''':'154802, ''name''':'silent film}, {''id''':'214549, ''name''':'short}, {''id''':'230616, ''name''':fat man}]"
276895,[]
'404604,"[{''id''':'155794, ''name''':'physical abuse}, {''id''':'190327, ''name''':sexual assault}]"
420346,[]
67179,[]
'84419,"[{''id''':'9748, ''name''':'revenge}, {''id''':'9826, ''name''':'murder}, {''id''':'10714, ''name''':'serial killer}, {''id''':'14512, ''name''':'new york city}, {''id''':'173245, ''name''':'sculptor}, {''id''':'179083, ''name''':'art critic}, {''id''':'189379, ''name''':deformity}]"
'390959,"[{''id''':'224180, ''name''':blair witch}]"
'289923,"[{''id''':'616, ''name''':'witch}, {''id''':'2035, ''name''':'mythology}, {''id''':'3754, ''name''':'legend}, {''id''':'10714, ''name''':'serial killer}, {''id''':'11800, ''name''':mockumentary}]"
222848,[]
30840,[]
'439050,"[{''id''':'10703, ''name''':tragic love}]"
'111109,"[{''id''':'2679, ''name''':'artist}, {''id''':'14531, ''name''':'play}, {''id''':'215397, ''name''':pinoy}]"
67758,[]
227506,[]
461257,[]
